"59,60,67,67,187,67,98,104,110,68,59,178,39,178,56,32,40,31,44,60,52,60,80,60,134,59,102,59,105,59,239,60,64,60,60,60,
"",
""57,65,59,60,67,67,187,67,98,104,110,68,59,178,39,178,56,32,40,31,44,60,52,60,80,60,134,59,102,59,105,59,239,60,64,60,60,60,
""56,66,72,50,50,52,39,63,30,67,32,16,44,45,34,56,34,62,40,49,55,58,60,47,82,66,117,51,101,45,100,47,245,67,83,39,65,64,
""67,46,59,63,69,68,203,91,98,66,87,106,55,32,35,178,34,26,48,58,45,66,52,61,76,179,125,76,97,60,104,59,244,59,75,60,62,60,
""55,51,59,69,69,72,204,73,101,66,84,67,55,62,38,179,38,51,48,66,48,67,58,53,81,56,142,49,95,20,100,63,245,87,83,54,65,40,
""56,64,60,64,67,65,121,65,100,67,114,68,61,179,39,179,40,5,42,12,47,60,55,60,82,60,154,59,97,60,96,60,129,60,75,59,62,60,
""56,58,58,66,69,65,105,67,102,67,89,66,55,7,38,68,37,49,40,17,43,102,56,60,77,60,146,59,81,60,77,60,139,59,68,60,62,60,
""52,61,59,77,68,73,204,93,103,85,83,93,55,42,38,178,37,45,48,46,44,67,57,50,78,60,131,49,240,44,175,57,205,56,84,56,60,50,
""55,67,58,67,67,80,247,90,227,83,95,135,56,71,35,178,37,57,52,83,49,46,54,44,69,51,135,68,242,46,212,45,245,40,78,4,62,52,
""65,51,57,74,69,98,204,90,240,113,83,96,55,178,35,87,37,59,39,36,44,84,56,60,75,60,132,16,237,103,223,59,129,59,66,60,66,60,
""55,85,59,67,66,60,120,92,212,165,101,168,57,54,38,179,39,61,53,43,48,48,51,53,75,51,134,5,237,35,214,60,233,60,64,60,58,60,
""58,96,57,68,66,60,205,93,215,78,106,70,58,179,37,179,38,4,40,40,44,44,56,77,85,60,165,59,217,59,221,60,244,60,73,60,60,60,
""72,52,59,83,69,90,204,90,228,95,80,105,52,179,34,73,37,60,39,59,43,60,57,60,85,60,167,60,220,59,223,59,243,60,64,60,58,60,
"