",52,46,55,57,75,50,77,60,94,44,111,53,101,60,89,43,67,6,
""54,65,61,60,71,58,249,72,109,68,101,68,61,8,39,67,40,51,40,59,43,2670,67,88,55,88,66,104,67,152,67,70,65,51,68,37,67,40,17,50,62,49,53,58,65,88,68,162,42,104,61,104,65,210,47,81,60,67,30,
""52,66,61,53,68,52,249,62,105,69,103,68,61,68,37,69,38,64,51,52,48,59,56,62,82,179,168,76,102,59,106,59,245,60,76,60,62,60,
""66,47,59,41,70,60,207,87,108,88,91,60,57,69,38,179,38,42,50,48,47,61,58,54,86,1,155,59,111,51,113,48,207,62,88,6,64,7,
""50,41,60,51,68,55,248,54,105,77,107,56,62,100,38,179,38,87,54,65,48,49,56,55,74,5,142,5,104,30,104,60,204,60,64,60,59,59,
""52,67,59,68,69,48,205,91,107,92,85,83,55,65,34,179,37,54,42,62,44,57,60,162,88,59,145,59,103,60,105,60,245,59,75,60,63,60,
""62,43,58,70,68,75,205,58,107,55,91,67,57,5,37,179,39,87,53,62,48,55,56,70,90,132,177,169,133,59,134,59,239,59,74,60,56,60,
""64,76,57,79,68,54,207,57,136,73,92,71,58,63,37,123,38,65,50,44,48,63,56,49,77,5,139,5,134,7,136,5,221,123,65,51,61,59,
""50,65,62,63,69,55,206,65,125,62,91,72,57,51,38,180,39,58,55,51,49,64,57,47,83,67,128,53,109,42,97,41,250,34,82,17,63,60,
""50,55,56,67,67,60,246,68,109,67,105,68,61,10,38,68,38,49,40,10,45,62,56,11,79,37,154,10,112,55,114,63,221,53,82,50,67,66,
""51,69,59,60,68,61,245,69,86,67,99,60,60,173,40,179,42,140,45,66,48,65,55,47,75,56,151,28,86,62,115,47,210,55,82,40,68,33,
""52,68,59,44,68,68,206,92,109,102,105,67,61,69,40,81,40,5,52,68,50,60,56,50,72,60,130,19,110,51,119,48,192,49,77,50,65,67,
"